Distrito,Capital do Distrito,População,Número de Concelhos
Aveiro,Aveiro,713578,19
Beja,Beja,152758,14
Braga,Braga,849638,14
Bragança,Bragança,122804,12
Castelo Branco,Castelo Branco,208069,11
Coimbra,Coimbra,429714,17
Évora,Évora,151570,14
Faro,Faro,467495,16
Guarda,Guarda,159759,14
Leiria,Leiria,459450,16
Lisboa,Lisboa,2284795,16
Portalegre,Portalegre,118506,15
Porto,Porto,1646342,17
Santarém,Santarém,465187,21
Setúbal,Setúbal,849842,13
Viana do Castelo,Viana do Castelo,252011,10
Vila Real,Vila Real,214681,14
Viseu,Viseu,378994,24
