País,Capital,População (milhões),PIB per capita (USD)
Alemanha,Berlim,83.24,50551
França,Paris,67.39,44217
Itália,Roma,59.07,36063
Espanha,Madrid,47.35,32435
Portugal,Lisboa,10.31,25786
Reino Unido,Londres,67.33,48427
Países Baixos,Amesterdão,17.53,58438
Suécia,Estocolmo,10.42,59546
Noruega,Oslo,5.39,89913
Dinamarca,Copenhaga,5.83,68643
Polónia,Varsóvia,37.95,17927
Grécia,Atenas,10.68,20233
Hungria,Budapeste,9.71,19980
Áustria,Viena,8.92,51974
Irlanda,Dublin,5.04,88313
Finlândia,Helsínquia,5.54,55229
Bélgica,Bruxelas,11.59,52352
Suíça,Berna,8.74,92829
República Checa,Praga,10.7,26590
Roménia,Bucareste,19.05,14260
